subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return,avg_hold_time,std_hold_time,avg_dd_time,std_dd_time,avg_ud_time,std_ud_time,typing_speed,rhythm_cv,overlap_ratio
s001,1,1,0.127765,0.080707,-0.012032,0.146963,0.192661,-0.002495,0.080546,0.116618,0.043734,0.09305,0.171172,0.071145,0.053773,0.214699,0.135582,0.163706,0.187866,0.035612,0.0999,0.191926,0.043498,0.178232,0.255432,0.120614,0.05031,0.081751,0.065039,0.158048,0.117626,-0.021066,0.12503,0.11612027272727272,0.04396077476817466,0.16104579999999996,0.05884394411926439,0.047963099999999995,0.05258330148852707,6.830355091532969,0.3653863712397386,0.3
s001,1,2,0.151611,0.152673,-0.008349,0.154492,0.147811,-0.002877,0.069243,0.091863,0.063684,0.075997,0.149274,0.106134,0.055364,0.257234,0.165258,0.131122,0.193683,0.040019,0.152326,0.204248,0.028559,0.239042,0.201658,0.090963,0.061715,0.085479,0.068467,0.207009,0.159402,-0.019666,0.113809,0.1283390909090909,0.06038216693768872,0.16433250000000002,0.052290062461980084,0.0532192,0.057880452155570916,6.6937459114904225,0.3181967004701631,0.3
s001,1,3,0.125319,0.156946,-0.011019,0.120955,0.141509,-0.00201,0.08259,0.137315,0.066879,0.081351,0.15243,0.09637,0.063636,0.205903,0.200188,0.154665,0.096035,0.035281,0.122023,0.149743,0.029261,0.14028,0.255257,0.053362,0.051104,0.149426,0.054936,0.11949,0.126012,-0.021519,0.162985,0.1113089090909091,0.03671530226609756,0.15705760000000002,0.04407226804591649,0.050172900000000006,0.06430566070201148,7.003799879789325,0.2806121145350199,0.3
s001,1,4,0.135471,0.119851,-0.010494,0.143918,0.122607,-0.00311,0.072305,0.137946,0.050692,0.09032,0.126191,0.068451,0.076914,0.187379,0.20413,0.208236,0.249263,0.026022,0.134041,0.143503,0.03214,0.19255,0.286352,0.100406,0.058051,0.132325,0.039579,0.194539,0.13084,-0.014993,0.15488,0.13283863636363635,0.052789207575550376,0.1636257,0.0587639647612,0.049282299999999994,0.0652681618641296,6.722660315586121,0.3591364997664487,0.3
s001,1,5,0.136733,0.113867,-0.01137,0.145907,0.15499,-0.002411,0.099366,0.192791,0.04697,0.07557,0.117129,0.106347,0.0837,0.184591,0.176735,0.202297,0.20512,0.039071,0.136533,0.121408,0.032913,0.181901,0.279786,0.078091,0.053412,0.092011,0.064992,0.2194,0.171806,-0.013699,0.133124,0.13344936363636364,0.05295595793538765,0.1633499,0.05597097810363668,0.05176390000000001,0.0588886307447277,6.734010856449866,0.3426446828384337,0.3
s001,1,6,0.151937,0.10106,-0.012378,0.154095,0.12309,-0.001978,0.086847,0.19766,0.051879,0.057374,0.161008,0.064833,0.079545,0.223394,0.14975,0.159963,0.22458,0.029255,0.151854,0.190508,0.024394,0.119068,0.220893,0.116639,0.063559,0.131894,0.077654,0.184168,0.134075,-0.013226,0.161415,0.12452954545454543,0.04499489853386412,0.17081619999999997,0.04639897693987085,0.0486822,0.05481080773756618,6.439670242049643,0.27163099415372144,0.3
s001,1,7,0.172619,0.165473,-0.012832,0.166871,0.151542,-0.003128,0.083308,0.135886,0.051059,0.091905,0.206958,0.083536,0.084106,0.263781,0.162961,0.169442,0.15292,0.021339,0.136283,0.132431,0.026246,0.129992,0.160675,0.108469,0.057461,0.119437,0.043784,0.164953,0.206553,-0.016984,0.176753,0.13033572727272727,0.04379138082109517,0.1695656,0.0439275789660917,0.046445,0.05760002022183287,6.487164849474186,0.2590594812597419,0.3
s001,1,8,0.11161,0.20045,-0.006029,0.1664,0.149644,-0.002736,0.085394,0.155606,0.043401,0.071953,0.109977,0.068519,0.088366,0.207336,0.143296,0.173911,0.135518,0.039811,0.164303,0.170097,0.036598,0.107881,0.332152,0.083272,0.047053,0.112242,0.079045,0.175664,0.130293,-0.022743,0.156598,0.12264845454545453,0.046290577091593135,0.1703315,0.06577682488240909,0.046243400000000004,0.0498837195245102,6.457995144761832,0.3861694461724028,0.3
s001,1,9,0.090999,0.102902,-0.006758,0.16538,0.125854,-0.003041,0.07958,0.188024,0.055531,0.092479,0.155765,0.084569,0.07529,0.226985,0.086834,0.204301,0.173265,0.048615,0.149559,0.160741,0.029178,0.141887,0.222146,0.105002,0.073092,0.107096,0.047238,0.164251,0.187943,-0.011627,0.170979,0.12798154545454546,0.046697554917497844,0.1650721,0.0435601985110516,0.0435541,0.04145664796024879,6.663754807747646,0.2638858769725037,0.3
s001,1,10,0.164332,0.120631,-0.008375,0.145796,0.111395,-0.00388,0.060193,0.112784,0.064415,0.102226,0.148364,0.075533,0.070319,0.222121,0.187934,0.147367,0.232485,0.030866,0.153811,0.150295,0.022735,0.198291,0.295399,0.058695,0.057073,0.144917,0.039913,0.202498,0.179226,-0.020332,0.159563,0.1328608181818182,0.05246419944270223,0.17176170000000002,0.060581480050608066,0.044750399999999996,0.05977184183989425,6.404221662920197,0.35270654938523877,0.3
