user,gesture_id,gesture_type,n_points,duration,start_x,start_y,end_x,end_y,mean_pressure,std_pressure,max_pressure,mean_area,std_area
user01,0,long_press,12,1.2768,67.5,210.3,66.7,207.2,0.6778,0.0224,0.7,31.7,0.0
user01,1,tap,2,0.0607,122.9,210.9,122.7,210.3,0.6655,0.3132,0.887,35.1,0.0
user01,2,swipe_right,25,0.4318,122.3,256.4,472.8,256.4,0.6661,0.0217,0.703,30.73,0.97
user01,3,swipe_up,17,0.2947,153.9,508.5,153.9,340.0,0.7376,0.0247,0.779,46.24,1.53
user01,4,swipe_left,38,0.6434,85.3,491.8,-224.1,491.8,0.772,0.0245,0.812,38.91,1.19
user01,5,pinch_in,27,0.4536,151.3,504.3,151.3,214.0,0.634,0.0205,0.669,39.59,1.24
user01,6,double_tap,4,0.3353,113.9,413.6,111.6,415.9,0.5895,0.2269,0.786,29.8,0.0
user01,7,swipe_up,38,0.6408,166.6,274.6,166.6,-98.5,0.6689,0.0212,0.703,46.52,1.43
user01,8,tap,2,0.0549,167.3,637.7,166.5,634.7,0.6265,0.2949,0.835,25.6,0.0
user01,9,long_press,17,1.7202,175.9,104.9,177.7,106.7,0.5323,0.0231,0.559,40.1,0.0
user01,10,swipe_up,23,0.3905,139.7,269.7,139.7,-53.0,0.6009,0.0195,0.634,40.57,1.28
user01,11,swipe_right,28,0.4819,168.9,422.1,451.3,422.1,0.6801,0.0217,0.715,45.78,1.45
user01,12,swipe_left,38,0.6362,87.6,339.7,-243.9,339.7,0.718,0.0228,0.755,45.59,1.39
user01,13,pinch_in,24,0.4098,57.5,559.4,57.5,257.8,0.7229,0.0234,0.759,35.38,1.13
user01,14,swipe_up,23,0.3916,30.9,264.3,30.9,-22.9,0.7194,0.0234,0.759,35.12,1.12
user01,15,double_tap,4,0.4156,140.8,234.6,140.1,232.3,0.56,0.2159,0.747,35.4,0.0
user01,16,swipe_left,19,0.3302,115.4,430.8,-157.7,430.8,0.6851,0.0226,0.723,48.47,1.57
user01,17,swipe_down,14,0.2498,34.1,458.2,34.1,652.5,0.6376,0.0216,0.669,46.8,1.56
user01,18,pinch_out,20,0.3363,95.5,540.5,95.5,311.2,0.7479,0.0244,0.785,36.93,1.19
user01,19,swipe_down,12,0.2146,148.3,428.0,148.3,602.3,0.7445,0.0254,0.78,40.63,1.4
user01,20,tap,2,0.069,198.3,184.1,200.4,182.1,0.6635,0.3132,0.885,30.6,0.0
user01,21,swipe_left,18,0.3087,177.4,565.3,-100.4,565.3,0.7332,0.0242,0.77,43.64,1.43
user01,22,tap,2,0.055,165.7,490.0,167.2,488.4,0.6585,0.3104,0.878,34.5,0.0
user01,23,tap,2,0.0629,36.1,379.4,35.3,379.5,0.598,0.2814,0.797,18.5,0.0
user01,24,swipe_up,29,0.4844,160.9,286.3,160.9,-19.4,0.7711,0.0248,0.813,40.57,1.25
user01,25,swipe_up,36,0.6102,121.9,455.0,121.9,123.4,0.7041,0.0223,0.74,35.58,1.1
user01,26,pinch_out,23,0.3852,104.6,231.4,104.6,75.0,0.7127,0.0232,0.752,35.5,1.14
user01,27,pinch_out,13,0.2297,99.5,269.3,99.5,80.2,0.7319,0.0254,0.773,46.03,1.56
user01,28,swipe_left,18,0.302,192.3,495.2,-96.3,495.2,0.726,0.0239,0.762,31.31,1.03
user01,29,tap,2,0.0504,101.3,248.6,102.2,250.2,0.6565,0.309,0.875,38.6,0.0
user01,30,swipe_right,26,0.4362,103.8,359.4,407.7,359.4,0.6408,0.0206,0.673,31.1,0.98
user01,31,tap,2,0.0863,37.7,324.8,38.5,326.6,0.6045,0.285,0.806,30.6,0.0
user01,32,swipe_down,20,0.3391,189.8,430.2,189.8,677.2,0.6617,0.0216,0.695,40.59,1.31
user01,33,tap,2,0.0656,107.9,427.4,108.5,426.1,0.59,0.2786,0.787,29.2,0.0
user01,34,swipe_up,26,0.4461,148.4,451.6,148.4,82.2,0.671,0.0216,0.705,35.78,1.13
user01,35,double_tap,4,0.3176,166.6,269.2,165.3,268.0,0.5915,0.2281,0.789,33.9,0.0
user01,36,pinch_in,20,0.3353,84.4,558.2,84.4,310.9,0.7842,0.0256,0.823,40.22,1.29
user01,37,swipe_up,17,0.2991,137.4,379.4,137.4,156.1,0.6916,0.0232,0.73,40.74,1.34
user01,38,swipe_left,13,0.2199,164.6,515.8,-8.2,515.8,0.7738,0.0268,0.818,45.48,1.54
user01,39,tap,2,0.049,39.8,429.7,39.1,430.5,0.6595,0.3104,0.879,29.3,0.0
user01,40,tap,2,0.0611,47.2,150.5,48.3,152.2,0.581,0.2744,0.775,27.4,0.0
user01,41,swipe_up,31,0.523,162.1,423.4,162.1,167.3,0.6104,0.0195,0.644,35.12,1.09
user01,42,pinch_in,14,0.2454,31.9,387.5,31.9,223.4,0.6981,0.0236,0.732,33.06,1.11
user01,43,swipe_up,17,0.2966,193.6,349.9,193.6,128.5,0.6468,0.0216,0.683,43.65,1.42
user01,44,pinch_in,25,0.4255,42.5,421.5,42.5,29.2,0.7152,0.0232,0.754,40.2,1.26
user01,45,tap,2,0.069,137.0,517.4,137.4,521.8,0.7195,0.3387,0.959,25.2,0.0
user01,46,swipe_left,17,0.2909,90.1,433.5,-79.4,433.5,0.6899,0.0228,0.728,30.64,1.0
user01,47,pinch_out,50,0.8424,57.6,564.4,57.6,208.7,0.7248,0.0227,0.762,44.13,1.34
user01,48,pinch_out,26,0.4361,101.1,573.1,101.1,206.6,0.7485,0.024,0.786,50.39,1.58
user01,49,swipe_up,31,0.5233,94.8,588.0,94.8,227.4,0.6828,0.0218,0.72,42.2,1.3
user01,50,long_press,17,1.7882,110.1,349.3,108.9,350.9,0.6306,0.0299,0.665,37.1,0.0
user01,51,tap,2,0.0632,176.6,669.7,176.5,665.6,0.523,0.2461,0.697,29.9,0.0
user01,52,tap,2,0.0644,70.8,145.5,72.3,144.9,0.6055,0.285,0.807,23.0,0.0
user01,53,swipe_right,19,0.3237,60.1,235.5,240.3,235.5,0.7327,0.0243,0.773,36.38,1.19
user01,54,swipe_right,16,0.2734,115.6,476.2,275.4,476.2,0.6642,0.0223,0.697,31.72,1.05
user01,55,long_press,19,1.9221,137.9,148.3,137.6,148.1,0.6889,0.0378,0.731,36.4,0.0
user01,56,swipe_down,26,0.447,182.5,232.1,182.5,513.2,0.6475,0.0207,0.68,36.32,1.14
user01,57,swipe_right,25,0.4194,73.8,268.4,391.0,268.4,0.6952,0.0225,0.733,41.78,1.31
user01,58,pinch_in,15,0.2661,77.6,507.8,77.6,311.0,0.8311,0.0282,0.878,51.27,1.72
user01,59,swipe_left,23,0.399,133.8,315.5,-161.5,315.5,0.5243,0.017,0.553,36.91,1.17
user01,60,swipe_down,16,0.2803,38.8,334.6,38.8,518.2,0.8788,0.0294,0.922,28.84,0.96
user01,61,swipe_up,24,0.4131,131.3,388.6,131.3,135.7,0.7495,0.0242,0.787,47.83,1.51
user01,62,swipe_left,24,0.4131,60.8,226.6,-274.5,226.6,0.7115,0.0229,0.747,40.72,1.28
user01,63,tap,2,0.055,173.1,183.9,172.5,185.0,0.5795,0.2737,0.773,34.1,0.0
user01,64,tap,2,0.0539,91.0,626.3,86.9,624.3,0.6625,0.3118,0.883,38.1,0.0
user01,65,swipe_right,20,0.3355,182.9,353.6,468.8,353.6,0.646,0.0211,0.678,29.08,0.95
user01,66,pinch_in,19,0.333,189.8,451.1,189.8,217.4,0.6433,0.0214,0.679,42.07,1.36
user01,67,swipe_down,17,0.2947,164.1,260.7,164.1,488.6,0.7802,0.0263,0.824,46.78,1.55
user01,68,swipe_left,29,0.4994,179.1,336.8,-176.3,336.8,0.7986,0.0256,0.842,42.93,1.36
user01,69,swipe_up,21,0.3501,152.8,488.0,152.8,177.7,0.6719,0.0222,0.709,37.12,1.19
user01,70,double_tap,4,0.3111,122.3,251.1,130.2,250.5,0.582,0.224,0.776,23.3,0.0
user01,71,pinch_in,27,0.4626,148.4,569.0,148.4,242.2,0.7079,0.0229,0.747,45.17,1.4
user01,72,swipe_down,16,0.2701,188.8,570.2,188.8,832.9,0.7864,0.0262,0.825,51.12,1.67
user01,73,swipe_up,15,0.2617,130.5,359.6,130.5,195.9,0.7034,0.0238,0.743,47.65,1.59
user01,74,swipe_left,36,0.6049,88.9,338.8,-245.5,338.8,0.5946,0.0188,0.625,45.87,1.4
user01,75,swipe_right,23,0.3866,53.9,270.6,328.5,270.6,0.6839,0.0223,0.722,29.64,0.96
user01,76,swipe_right,17,0.292,32.2,465.4,226.7,465.4,0.7448,0.025,0.786,52.9,1.74
user01,77,pinch_out,19,0.3193,44.5,598.7,44.5,323.2,0.6831,0.0226,0.721,32.39,1.06
user01,78,tap,2,0.052,41.4,550.0,40.3,549.9,0.62,0.2927,0.827,29.3,0.0
user01,79,tap,2,0.0275,41.2,565.3,37.0,562.8,0.582,0.2744,0.776,39.3,0.0
user01,80,tap,2,0.0457,56.4,209.2,59.9,211.0,0.5385,0.2539,0.718,25.1,0.0
user01,81,swipe_up,11,0.1991,144.2,207.9,144.2,31.9,0.6537,0.0233,0.691,34.92,1.24
user01,82,long_press,19,1.962,58.9,492.0,62.7,490.1,0.6719,0.0384,0.715,36.3,0.0
user01,83,pinch_in,14,0.2476,118.2,218.8,118.2,27.2,0.5811,0.0195,0.609,31.14,1.05
user01,84,double_tap,4,0.3987,44.1,461.9,45.6,462.4,0.579,0.2229,0.772,21.0,0.0
user01,85,double_tap,4,0.4169,66.5,118.7,67.1,117.7,0.6405,0.2465,0.854,20.3,0.0
user01,86,tap,2,0.0661,147.0,360.9,149.0,362.1,0.646,0.3041,0.861,26.6,0.0
